match,row,kills,deaths,assists,damage,dmg_taken,healing,mvp
6,3,8,6,8,9641,9889,0,FALSE
6,4,11,6,19,4515,3227,6886,TRUE
6,5,10,3,7,8605,1866,0,FALSE
6,6,6,6,2,6477,6693,321,FALSE
6,7,5,8,10,3966,4262,3225,FALSE
6,8,15,5,10,4242,2707,0,FALSE
6,9,9,2,8,3031,10378,0,FALSE
6,10,8,2,20,2330,2701,10303,FALSE
6,11,12,3,20,4417,2968,6029,FALSE
6,12,6,3,6,3772,11634,0,FALSE
6,13,16,3,8,7969,13723,1250,TRUE
7,2,16,1,14,5659,4931,0,TRUE
7,3,9,5,10,2667,1811,646,FALSE
7,4,13,2,11,3680,4195,0,FALSE
7,5,12,3,23,2885,2256,2814,FALSE
7,6,0,0,0,0,0,0,FALSE
7,7,0,0,0,0,0,0,FALSE
7,8,15,3,6,6699,1387,0,FALSE
7,9,11,2,8,4101,1668,0,FALSE
7,10,4,6,3,1801,4118,4,FALSE
7,11,10,6,6,3158,3572,0,FALSE
7,12,9,4,4,5424,8758,0,TRUE
7,13,0,6,11,185,2267,3270,FALSE
7,14,3,4,3,934,3310,4993,FALSE
7,15,5,5,5,3101,5971,0,FALSE
8,2,21,6,21,18001,8141,0,FALSE
8,3,25,1,2,18658,30416,0,TRUE
8,4,20,6,23,12122,8483,14950,FALSE
8,5,5,3,27,4110,4933,28467,FALSE
8,6,20,8,3,17018,8195,0,FALSE
8,7,18,4,4,20576,28012,1527,FALSE
8,8,10,8,9,16728,20976,0,FALSE
8,9,6,9,6,11048,16957,14418,FALSE
8,10,14,7,1,21480,6258,0,TRUE
8,11,8,5,0,12199,23452,3893,FALSE
8,12,3,8,17,8891,7746,19488,FALSE
8,13,11,10,1,15101,23051,0,FALSE
9,2,25,9,0,22655,6804,0,FALSE
9,3,12,9,16,9041,11276,28144,FALSE
9,4,19,9,1,21011,10117,0,FALSE
9,5,19,5,6,16189,37992,0,FALSE
9,6,10,3,23,3607,6586,32294,FALSE
9,7,22,7,6,14999,43233,0,TRUE
9,8,17,8,2,19565,9711,0,FALSE
9,9,18,8,3,23107,32049,0,TRUE
9,10,17,11,7,14703,9204,7316,FALSE
9,11,12,5,22,11467,17327,29870,FALSE
9,12,18,6,1,24201,27687,0,FALSE
9,13,8,9,15,10217,7800,16393,FALSE
10,2,18,11,0,15668,11203,611,FALSE
10,3,24,8,6,22601,36870,0,FALSE
10,4,9,6,27,3742,6502,21564,FALSE
10,5,27,8,5,30523,37025,0,TRUE
10,6,28,7,0,22270,6054,0,FALSE
10,7,14,7,24,16864,16380,29137,FALSE
10,8,14,8,23,7403,15049,27238,FALSE
10,9,20,8,2,19526,37515,2214,FALSE
10,10,18,10,9,22443,38976,0,TRUE
10,11,22,12,0,20995,9064,0,FALSE
10,12,21,6,4,21786,12955,0,FALSE
10,13,4,9,19,869,9285,29017,FALSE
11,2,11,6,3,4065,3246,0,FALSE
11,3,9,11,2,5791,5683,0,FALSE
11,4,19,7,6,4905,11602,0,FALSE
11,5,11,6,2,4586,3760,0,FALSE
11,6,11,8,2,3883,10911,0,FALSE
11,7,1,11,0,2533,3557,485,FALSE
11,8,14,14,5,6712,5077,0,FALSE
11,9,10,1,3,4543,6350,1496,FALSE
11,10,19,9,3,6974,4665,0,TRUE
11,11,11,6,9,4908,4640,0,FALSE
11,12,6,16,4,4107,5909,0,FALSE
11,13,20,10,6,8968,4701,0,FALSE
12,2,10,1,2,1894,1802,0,FALSE
12,3,7,3,12,2006,6111,0,FALSE
12,4,16,2,9,5006,8038,0,TRUE
12,5,5,3,2,2342,3941,90,FALSE
12,6,14,4,19,3605,2798,3689,FALSE
12,7,17,4,7,5497,2346,0,FALSE
12,8,5,7,1,3567,3952,0,FALSE
12,9,6,2,4,4978,4715,493,FALSE
12,10,4,7,5,2223,3462,2633,FALSE
12,11,5,6,4,4936,2488,0,FALSE
12,12,8,7,1,6361,2257,0,TRUE
12,13,2,7,1,2971,3476,0,FALSE
13,2,1,4,0,1092,1489,0,FALSE
13,3,3,3,0,1155,1411,0,FALSE
13,4,0,4,0,573,3753,0,FALSE
13,5,3,4,2,976,2293,222,FALSE
13,6,2,3,0,2111,2234,1,TRUE
13,7,0,6,0,1131,1982,0,FALSE
13,8,9,1,6,2027,2461,0,FALSE
13,9,12,0,7,1996,1029,0,FALSE
13,10,4,2,6,1569,1298,0,FALSE
13,11,8,3,5,1519,950,0,FALSE
13,12,13,1,6,2494,1065,0,TRUE
13,13,9,0,5,2403,645,0,FALSE
14,2,10,10,10,6656,4292,0,FALSE
14,3,11,1,13,4588,1025,3101,TRUE
14,4,10,0,4,5094,7152,0,FALSE
14,5,6,1,26,2514,1068,6038,FALSE
14,6,11,1,10,4011,6612,0,FALSE
14,7,14,2,7,5546,2511,0,FALSE
14,8,5,3,5,4474,9908,0,FALSE
14,9,10,5,5,3512,4780,4869,TRUE
14,10,3,5,9,1168,2884,4543,FALSE
14,11,10,6,9,3782,2353,0,FALSE
14,12,0,6,3,1343,5195,2862,FALSE
14,13,3,4,1,4774,8669,765,FALSE
15,2,9,6,2,6783,4287,0,FALSE
15,3,9,4,10,3499,3511,3175,TRUE
15,4,8,2,6,6564,7056,405,FALSE
15,5,14,9,4,5234,4037,0,FALSE
15,6,5,6,3,8194,5763,157,FALSE
15,7,7,3,17,2977,5219,5244,FALSE
15,8,7,6,2,4074,3534,0,FALSE
15,9,8,6,8,3755,6654,0,FALSE
15,10,10,6,18,4095,4127,11260,TRUE
15,11,10,2,5,3085,4023,270,FALSE
15,12,12,3,11,3555,12073,0,FALSE
15,13,20,5,26,9297,3777,0,FALSE
16,2,9,3,4,3293,2425,0,FALSE
16,3,11,6,4,3582,2291,0,TRUE
16,4,6,3,10,1716,2870,4664,FALSE
16,5,3,2,7,978,2629,2733,FALSE
16,6,2,6,1,2503,4248,277,FALSE
16,7,5,4,0,4342,7095,0,FALSE
16,8,7,4,4,3349,1822,0,FALSE
16,9,11,1,3,4234,7287,1016,TRUE
16,10,11,3,10,3245,1107,0,FALSE
16,11,4,5,1,3055,3122,374,FALSE
16,12,5,1,1,2201,1404,0,FALSE
16,13,4,5,0,2713,1674,0,FALSE
17,2,0,16,0,0,250,0,FALSE
17,3,2,2,1,1351,1630,0,FALSE
17,4,6,6,1,2711,2407,0,TRUE
17,5,3,5,3,2639,3777,0,FALSE
17,6,2,6,7,1475,2149,2396,FALSE
17,7,3,2,2,2455,4501,473,FALSE
17,8,10,2,8,1415,4223,0,FALSE
17,9,14,1,8,4480,972,0,TRUE
17,10,5,3,3,1812,1528,0,FALSE
17,11,10,2,9,2309,2516,0,FALSE
17,12,13,1,8,3341,1778,0,FALSE
17,13,5,1,3,1052,1571,442,FALSE
18,2,12,4,1,6583,3334,0,FALSE
18,3,15,2,3,10365,16867,0,FALSE
18,4,16,0,0,9260,11012,1132,FALSE
18,5,11,0,18,4856,7699,17030,FALSE
18,6,14,0,14,7279,3225,7985,TRUE
18,7,10,2,0,9956,2290,0,FALSE
18,8,3,5,0,5973,19102,0,TRUE
18,9,0,3,1,1618,3317,10086,FALSE
18,10,4,7,0,10676,6416,0,FALSE
18,11,1,8,0,4405,10395,0,FALSE
18,12,1,2,3,2449,3423,16429,FALSE
18,13,3,6,2,8961,10741,0,FALSE
19,2,5,4,16,2243,6508,10068,FALSE
19,3,14,4,18,5347,6319,17599,TRUE
19,4,8,6,1,7813,5406,0,FALSE
19,5,13,3,5,6010,12963,0,FALSE
19,6,10,6,0,6305,9081,0,FALSE
19,7,12,6,0,8356,5439,0,FALSE
19,8,10,6,0,11000,7529,121,FALSE
19,9,13,3,0,7307,4314,0,FALSE
19,10,8,5,0,6198,18344,0,FALSE
19,11,11,6,9,5700,5140,15979,TRUE
19,12,9,3,3,5233,3113,0,FALSE
19,13,5,4,4,4147,3462,7185,FALSE
20,2,8,7,0,10666,4132,73,FALSE
20,3,5,6,1,7354,13340,0,FALSE
20,4,4,7,0,8374,15154,756,FALSE
20,5,5,6,7,3177,4008,10813,TRUE
20,6,3,7,0,3260,3355,0,FALSE
20,7,5,6,8,3596,3885,6156,FALSE
20,8,19,2,6,9338,2649,0,FALSE
20,9,21,1,0,10178,3143,0,TRUE
20,10,0,2,18,133,3203,11961,FALSE
20,11,11,3,7,6782,20004,0,FALSE
20,12,11,1,17,3863,3196,13770,FALSE
20,13,16,2,0,9537,4231,0,FALSE
21,2,11,8,0,21610,10258,528,FALSE
21,3,10,5,1,12985,23800,0,FALSE
21,4,12,6,16,6406,9526,27912,TRUE
21,5,6,5,12,7113,9806,15869,FALSE
21,6,13,6,0,21839,5703,0,FALSE
21,7,12,7,3,13924,23115,725,FALSE
21,8,10,4,22,8297,7448,25518,FALSE
21,9,20,1,0,18648,7008,0,TRUE
21,10,5,5,22,2594,7115,18350,FALSE
21,11,14,4,6,17100,32851,0,FALSE
21,12,23,7,0,16149,8046,0,FALSE
21,13,22,8,4,13426,27467,0,FALSE
22,2,18,2,2,8581,6914,62,FALSE
22,3,12,1,16,4906,2008,15206,TRUE
22,4,15,1,1,11632,4494,0,FALSE
22,5,6,2,17,2557,3097,16366,FALSE
22,6,11,2,2,6884,15069,0,FALSE
22,7,19,1,1,6971,13063,0,FALSE
22,8,1,5,2,2834,6993,13333,FALSE
22,9,5,5,3,6526,5337,13373,TRUE
22,10,2,2,0,6893,3052,0,FALSE
22,11,6,6,0,6899,5828,0,FALSE
22,12,5,6,0,7096,15677,0,FALSE
22,13,7,5,4,5891,14114,73,FALSE
23,2,5,2,29,1855,5877,21921,FALSE
23,3,12,3,30,7517,5397,24505,FALSE
23,4,23,11,0,12496,8153,0,FALSE
23,5,19,2,3,12772,24265,0,FALSE
23,6,15,4,6,9591,5839,0,FALSE
23,7,21,3,2,17423,33209,0,TRUE
23,8,13,6,3,15119,20380,0,TRUE
23,9,12,6,9,9380,4374,10785,FALSE
23,10,16,8,3,14934,6712,0,FALSE
23,11,10,5,1,18589,20021,1630,FALSE
23,12,7,9,9,8937,10330,10634,FALSE
23,13,6,8,12,5829,5116,10742,FALSE
24,2,9,3,6,9340,4058,0,FALSE
24,3,5,2,18,2085,2184,6046,FALSE
24,4,15,3,11,4224,8386,0,TRUE
24,5,6,3,2,4310,3673,257,FALSE
24,6,8,4,1,6097,1657,0,FALSE
24,7,4,2,14,1327,2187,3833,FALSE
24,8,8,5,12,2523,6617,3279,FALSE
24,9,8,5,3,3723,4156,0,FALSE
24,10,4,2,11,776,2204,6026,FALSE
24,11,8,6,9,4434,5340,0,FALSE
24,12,8,4,7,2334,4618,3285,FALSE
24,13,7,2,5,6084,7661,971,TRUE
25,2,47,3,16,23319,38465,0,FALSE
25,3,41,6,10,16550,30811,0,FALSE
25,4,48,7,20,26539,8194,0,FALSE
25,5,47,6,47,16071,7264,20310,FALSE
25,6,62,5,0,37229,6390,0,TRUE
25,7,34,7,53,11270,15488,23737,FALSE
25,8,12,15,3,12362,33024,17485,FALSE
25,9,12,20,2,14368,50551,0,FALSE
25,10,20,12,6,14921,18667,0,FALSE
25,11,11,11,16,9723,10586,20156,FALSE
25,12,9,12,15,9808,12945,33598,TRUE
25,13,16,19,0,20400,12612,0,FALSE
26,2,15,7,5,16563,5794,0,FALSE
26,3,12,7,14,6301,9697,23390,TRUE
26,4,14,7,15,8522,7042,14005,FALSE
26,5,14,9,9,7715,7005,0,FALSE
26,6,12,5,4,13316,25268,0,FALSE
26,7,10,6,2,13315,19871,0,FALSE
26,8,16,6,3,9154,20019,0,FALSE
26,9,3,1,21,776,3228,17844,FALSE
26,10,24,3,7,10700,27714,0,FALSE
26,11,24,6,7,18118,14275,0,TRUE
26,12,24,3,0,13418,5728,0,FALSE
26,13,16,3,25,8337,14455,18620,FALSE
27,2,19,1,4,8020,11335,0,FALSE
27,3,21,1,0,11545,2807,0,FALSE
27,4,7,3,19,3598,2481,9366,FALSE
27,5,16,5,4,6724,16409,0,FALSE
27,6,19,0,4,11602,6757,456,TRUE
27,7,15,2,24,4590,2450,12579,FALSE
27,8,2,5,0,4319,14536,0,FALSE
27,9,6,7,7,5672,6746,7664,FALSE
27,10,8,7,0,9471,15465,649,TRUE
27,11,7,5,2,8061,2704,0,FALSE
27,12,3,5,4,1711,4234,8927,FALSE
27,13,6,9,0,9150,5861,0,FALSE
28,2,0,3,25,260,5363,27693,FALSE
28,3,17,5,2,14547,27611,0,FALSE
28,4,7,3,18,4328,7503,26199,FALSE
28,5,13,3,2,12773,27173,60,FALSE
28,6,17,5,2,17579,11959,0,FALSE
28,7,22,8,7,15774,28720,0,TRUE
28,8,2,5,20,694,5750,21704,FALSE
28,9,14,6,3,15638,24040,0,FALSE
28,10,18,2,0,27330,5809,0,FALSE
28,11,16,3,17,11005,13284,21270,TRUE
28,12,13,5,2,12822,25442,0,FALSE
28,13,20,10,0,21973,9599,0,FALSE
29,2,17,5,3,17059,45038,0,FALSE
29,3,25,9,0,18046,12894,1040,FALSE
29,4,15,5,2,18978,49928,0,FALSE
29,5,8,7,20,6916,9349,34358,FALSE
29,6,19,5,21,11742,23517,37009,TRUE
29,7,14,8,0,21755,10213,0,FALSE
29,8,18,3,3,19293,38635,0,TRUE
29,9,15,2,0,16246,7683,0,FALSE
29,10,17,12,3,19669,25783,0,FALSE
29,11,12,6,23,9004,8822,38527,FALSE
29,12,13,12,8,13243,12759,12068,FALSE
29,13,18,9,7,28123,10896,0,FALSE
30,2,16,2,19,5869,3575,14356,FALSE
30,3,16,4,0,4872,3980,0,FALSE
30,4,15,4,0,8945,14517,0,FALSE
30,5,23,2,3,13882,4086,0,TRUE
30,6,4,4,24,3446,5853,11014,FALSE
30,7,13,5,5,9427,14788,0,FALSE
30,8,14,7,1,10385,4914,0,TRUE
30,9,3,8,10,3175,5526,10578,FALSE
30,10,12,6,5,10861,19343,0,FALSE
30,11,10,6,3,7333,17169,0,FALSE
30,12,4,8,0,10123,6046,0,FALSE
30,13,4,7,8,4322,11612,15071,FALSE
31,2,25,2,34,10146,5685,32881,TRUE
31,3,19,3,0,13786,28955,0,FALSE
31,4,29,2,0,17250,8052,0,FALSE
31,5,30,5,0,13433,7026,269,FALSE
31,6,21,4,7,14928,29660,0,FALSE
31,7,16,4,24,4652,3953,13516,FALSE
31,8,4,13,2,10398,7533,528,FALSE
31,9,7,8,7,9621,18114,6445,FALSE
31,10,12,7,6,16301,39283,0,FALSE
31,11,7,11,11,9036,7967,5469,FALSE
31,12,10,8,15,7574,8083,24266,FALSE
31,13,13,11,2,10020,12792,9681,TRUE
32,2,10,7,9,3009,4126,10030,FALSE
32,3,10,8,1,5197,21347,0,FALSE
32,4,14,7,9,5361,6046,6071,FALSE
32,5,17,5,0,7566,5417,0,FALSE
32,6,13,7,1,7506,16699,34,FALSE
32,7,14,7,13,4318,9622,12345,TRUE
32,8,24,7,0,12551,8370,0,TRUE
32,9,15,5,0,9604,2835,0,FALSE
32,10,14,4,22,3800,3185,11345,FALSE
32,11,24,3,0,10823,14028,0,FALSE
32,12,11,6,0,6834,5894,0,FALSE
32,13,12,5,22,5720,4221,6434,FALSE
33,2,21,13,38,7578,12197,18711,FALSE
33,3,28,13,0,12209,10035,0,FALSE
33,4,16,9,21,5196,9149,21793,FALSE
33,5,25,12,1,17538,11791,0,FALSE
33,6,34,7,7,22031,31188,0,TRUE
33,7,34,8,0,15203,7755,0,FALSE
33,8,27,14,5,15397,12641,10,FALSE
33,9,26,8,4,17971,24408,0,TRUE
33,10,20,10,23,10150,11786,11466,FALSE
33,11,14,11,46,6055,8115,21113,FALSE
33,12,9,11,20,4858,11528,9152,FALSE
33,13,26,10,1,15072,25261,0,FALSE
34,2,4,8,7,5089,5945,15745,FALSE
34,3,7,10,1,14199,5704,0,FALSE
34,4,13,7,0,10960,5944,0,TRUE
34,5,1,6,0,4049,28204,0,FALSE
34,6,8,7,2,8389,16684,0,FALSE
34,7,5,7,6,5667,10234,14913,FALSE
34,8,26,4,0,13861,6214,0,FALSE
34,9,14,4,7,11300,7639,0,FALSE
34,10,15,8,0,10847,5675,215,FALSE
34,11,15,2,7,10286,22563,0,TRUE
34,12,11,3,21,4907,7051,14548,FALSE
34,13,4,1,17,701,2806,17614,FALSE
35,2,30,8,14,14362,14014,197,FALSE
35,3,21,9,7,8981,24730,6779,FALSE
35,4,18,10,5,10165,24589,0,FALSE
35,5,43,9,0,29200,14951,415,TRUE
35,6,12,5,41,6028,9901,16242,FALSE
35,7,21,8,40,7916,10959,25982,FALSE
35,8,26,13,0,15828,11049,0,FALSE
35,9,22,12,9,19821,9926,0,FALSE
35,10,24,9,19,19005,11882,0,FALSE
35,11,14,6,32,7847,8258,27694,FALSE
35,12,14,7,17,9298,9319,20478,FALSE
35,13,19,9,2,14589,31210,0,TRUE
36,2,3,5,3,5682,1890,0,FALSE
36,3,3,5,1,2199,6282,0,FALSE
36,4,4,6,0,3482,3437,0,TRUE
36,5,3,6,2,3948,3574,0,FALSE
36,6,2,4,3,520,2735,2625,FALSE
36,7,0,0,0,0,0,0,FALSE
36,8,0,0,0,0,0,0,FALSE
36,9,2,2,0,1146,2096,0,FALSE
36,10,0,1,0,318,342,277,FALSE
36,11,9,4,26,1385,2397,8846,FALSE
36,12,13,1,9,2589,6736,0,FALSE
36,13,19,2,7,6086,1948,0,TRUE
36,14,4,4,0,1728,1652,0,FALSE
36,15,16,0,14,3316,7821,0,FALSE
36,16,14,3,19,3574,2765,0,FALSE
37,2,11,1,6,2943,1215,0,FALSE
37,3,14,4,8,6026,3712,0,TRUE
37,4,13,2,10,5223,1977,0,FALSE
37,5,6,1,6,2827,3929,0,FALSE
37,6,9,2,3,3366,2179,0,FALSE
37,7,7,2,19,1482,3070,5002,FALSE
37,8,3,5,5,2399,3477,3559,FALSE
37,9,5,3,4,2390,5305,0,FALSE
37,10,4,4,6,2164,2799,3072,TRUE
37,11,1,4,4,1032,2987,4030,FALSE
37,12,5,5,2,3323,3526,0,FALSE
37,13,4,3,4,3140,4470,0,FALSE
38,2,1,0,8,532,1480,4487,FALSE
38,3,14,3,3,6765,3110,0,TRUE
38,4,7,2,14,2918,4919,4818,FALSE
38,5,10,1,6,5603,1701,0,FALSE
38,6,3,3,4,4890,8813,0,FALSE
38,7,0,1,0,0,250,0,FALSE
38,8,3,1,2,1597,3675,0,FALSE
38,9,5,5,8,2836,4036,6607,TRUE
38,10,5,6,4,2133,3154,0,FALSE
38,11,6,0,4,5130,6224,724,FALSE
38,12,4,6,2,3506,2697,0,FALSE
38,13,3,3,6,2254,3988,4521,FALSE
38,14,5,2,5,4189,4414,0,FALSE
39,2,20,5,32,10583,12186,24616,FALSE
39,3,19,6,0,10989,15014,1443,FALSE
39,4,13,3,31,3080,5834,36992,FALSE
39,5,35,3,10,22212,34737,0,FALSE
39,6,21,6,1,20244,26558,0,FALSE
39,7,37,6,1,30364,13362,0,TRUE
39,8,11,11,2,15595,30274,0,FALSE
39,9,12,8,0,18548,22002,0,FALSE
39,10,16,12,3,15156,35417,0,TRUE
39,11,11,6,16,12379,8288,28431,FALSE
39,12,14,13,11,19012,8637,0,FALSE
39,13,9,6,18,10098,15744,23180,FALSE
40,2,23,11,3,19529,16830,0,FALSE
40,3,23,5,0,14833,39633,0,FALSE
40,4,24,5,21,13319,16809,20146,FALSE
40,5,19,9,26,9582,9585,44917,TRUE
40,6,19,8,1,12439,29391,0,FALSE
40,7,28,8,0,12443,7260,0,FALSE
40,8,14,10,13,9276,18105,18537,FALSE
40,9,21,6,29,9664,7640,32070,FALSE
40,10,25,12,0,24086,7098,0,TRUE
40,11,21,8,4,20356,28096,480,FALSE
40,12,27,9,2,14797,8146,0,FALSE
40,13,18,9,5,16436,28161,0,FALSE
41,2,10,8,12,4676,4377,9831,FALSE
41,3,15,6,11,4377,6723,6920,FALSE
41,4,19,4,0,10992,4833,0,TRUE
41,5,12,10,3,6766,4450,0,FALSE
41,6,19,9,0,10189,5316,0,FALSE
41,7,9,8,2,9882,20332,0,FALSE
41,8,17,9,8,8072,4467,0,FALSE
41,9,17,6,5,5435,17877,0,FALSE
41,10,10,8,17,2785,4694,12610,FALSE
41,11,10,7,10,2920,8519,10202,FALSE
41,12,21,6,5,10186,16889,1798,TRUE
41,13,19,8,0,8223,4363,0,FALSE
42,2,10,3,18,5655,8568,13310,FALSE
42,3,14,3,27,4801,4494,18821,FALSE
42,4,14,3,4,8599,5857,0,FALSE
42,5,25,3,0,21605,5718,123,TRUE
42,6,12,3,3,10459,19488,0,FALSE
42,7,11,2,0,9196,16815,0,FALSE
42,8,7,4,0,5581,2280,0,FALSE
42,9,3,6,3,10796,24845,0,FALSE
42,10,3,4,4,4409,11553,26722,FALSE
42,11,10,5,0,13876,3578,0,TRUE
42,12,4,9,0,5422,15112,0,FALSE
42,13,3,9,0,4399,12566,8902,FALSE
42,14,0,1,0,2709,1705,0,FALSE
43,2,17,2,1,7667,8514,0,FALSE
43,3,15,6,0,5874,3938,0,FALSE
43,4,13,1,1,9082,21233,0,FALSE
43,5,10,4,18,7007,4486,11234,FALSE
43,6,22,4,0,12161,3897,0,TRUE
43,7,3,2,15,918,3318,13425,FALSE
43,8,8,2,0,9450,3761,0,FALSE
43,9,0,6,2,1691,3477,11941,FALSE
43,10,2,6,6,4816,5470,10064,FALSE
43,11,11,6,2,9059,14117,0,TRUE
43,12,5,5,1,10437,17789,0,FALSE
43,13,8,6,1,7490,4141,0,FALSE
44,2,2,10,1,3438,4461,2124,FALSE
44,3,2,5,3,2716,4544,2097,FALSE
44,4,6,6,0,2409,2689,0,FALSE
44,5,0,0,0,0,0,0,FALSE
44,6,2,7,1,3783,6844,0,FALSE
44,7,1,5,0,3287,7537,33,FALSE
44,8,6,5,3,3256,3051,5117,TRUE
44,9,16,1,2,6431,6803,0,FALSE
44,10,24,1,0,8603,3408,0,TRUE
44,11,12,0,20,2399,3433,4186,FALSE
44,12,0,0,0,0,0,0,FALSE
44,13,14,5,0,4873,3237,467,FALSE
44,14,15,1,3,3513,4685,0,FALSE
44,15,7,0,17,1012,1051,4565,FALSE
1,2,34,14,0,26867,15231,0,TRUE
1,3,25,8,44,8316,10277,33504,FALSE
1,4,1,5,44,136,4685,36982,FALSE
1,5,26,7,4,18123,45914,0,FALSE
1,6,38,7,0,24636,7788,0,FALSE
1,7,22,13,4,20584,36756,2122,FALSE
1,8,11,12,5,12174,47724,0,FALSE
1,9,17,8,23,8860,13972,27587,FALSE
1,10,26,10,7,31841,8878,0,FALSE
1,11,12,8,41,4389,6326,29749,FALSE
1,12,27,12,6,32389,12260,0,TRUE
1,13,14,13,3,16141,30017,1108,FALSE
2,2,6,4,14,6939,16287,28989,FALSE
2,3,6,4,15,5406,7056,29690,FALSE
2,4,10,6,6,14142,7096,0,FALSE
2,5,11,4,0,22175,7191,264,FALSE
2,6,13,6,0,15392,30497,0,TRUE
2,7,6,4,2,15460,39523,0,FALSE
2,8,11,1,2,18427,29322,0,FALSE
2,9,15,2,21,7328,7700,31934,TRUE
2,10,14,6,0,14312,8593,0,FALSE
2,11,1,0,19,33,2848,34210,FALSE
2,12,17,2,16,21373,7379,0,FALSE
2,13,15,5,1,18515,30115,1898,FALSE
3,2,13,9,0,14776,28388,0,TRUE
3,3,7,10,4,8237,15741,3383,FALSE
3,4,5,7,10,5954,12065,15818,FALSE
3,5,3,6,18,7458,6718,13189,FALSE
3,6,8,8,0,15190,4942,0,FALSE
3,7,14,5,2,12070,3746,0,FALSE
3,8,14,6,23,6022,15039,16927,FALSE
3,9,18,4,2,12288,5718,0,FALSE
3,10,15,3,15,9951,9142,15835,FALSE
3,11,20,5,0,14204,36611,0,FALSE
3,12,29,3,0,13988,6570,0,TRUE
3,13,10,7,23,6446,10049,13656,FALSE
4,2,20,4,0,7712,3169,0,FALSE
4,3,15,1,6,7977,12944,0,FALSE
4,4,16,5,2,8542,21349,0,FALSE
4,5,21,3,0,10837,1682,0,FALSE
4,6,5,3,14,1777,1390,5797,FALSE
4,7,15,2,29,3237,6873,15785,TRUE
4,8,5,7,0,4360,3188,0,FALSE
4,9,6,6,11,3986,4735,12758,FALSE
4,10,11,5,1,7477,4373,0,FALSE
4,11,7,7,2,5648,18810,0,TRUE
4,12,6,6,6,4030,5718,7282,FALSE
4,13,8,6,1,11110,15855,608,FALSE
5,2,4,10,64,1494,13055,58380,FALSE
5,3,58,13,14,35840,18006,0,FALSE
5,4,30,11,55,11208,18809,59488,FALSE
5,5,48,15,4,27342,74500,0,TRUE
5,6,37,18,6,38664,45965,88,FALSE
5,7,46,13,27,35972,24323,0,FALSE
5,8,26,11,38,10650,13324,48889,TRUE
5,9,26,10,38,16865,34144,45970,FALSE
5,10,34,19,5,43975,62895,0,FALSE
5,11,32,23,0,39181,17425,0,FALSE
5,12,29,22,6,24640,66209,0,FALSE
